quote_perm_id,price_date,ric_as_of,mic,trading_currency_iso,open_price,high_price,low_price,close_price,vwap,volume,close_adj_price,cumulative_adj_factor,is_no_trade_day,is_estimated,quality_flag_code,loaded_ts
55839165994,2026-05-26,AAPL.OQ,XNAS,USD,213.40,215.12,212.55,214.85,214.10,52183400,214.85,1.0000000000,FALSE,FALSE,OK,2026-05-26 23:35:00
55839165994,2026-05-27,AAPL.OQ,XNAS,USD,214.90,217.00,214.20,216.42,215.95,48902100,216.42,1.0000000000,FALSE,FALSE,OK,2026-05-27 23:35:00
55839165994,2026-05-28,AAPL.OQ,XNAS,USD,216.50,218.80,216.10,218.55,217.84,55310200,218.55,1.0000000000,FALSE,FALSE,OK,2026-05-28 23:35:00
55839172044,2026-05-26,MSFT.OQ,XNAS,USD,452.10,455.30,451.05,454.18,453.62,21450200,454.18,1.0000000000,FALSE,FALSE,OK,2026-05-26 23:35:00
55839172044,2026-05-27,MSFT.OQ,XNAS,USD,454.50,458.90,453.80,458.05,456.74,23012700,458.05,1.0000000000,FALSE,FALSE,OK,2026-05-27 23:35:00
55839172044,2026-05-28,MSFT.OQ,XNAS,USD,458.20,462.10,457.50,461.45,460.32,24985100,461.45,1.0000000000,FALSE,FALSE,OK,2026-05-28 23:35:00
55839188931,2026-05-26,GOOG.OQ,XNAS,USD,182.45,184.20,182.10,183.92,183.41,18402700,183.92,1.0000000000,FALSE,FALSE,OK,2026-05-26 23:35:00
55839188931,2026-05-27,GOOG.OQ,XNAS,USD,184.05,186.50,183.85,186.18,185.40,19124500,186.18,1.0000000000,FALSE,FALSE,OK,2026-05-27 23:35:00
55839188931,2026-05-28,GOOG.OQ,XNAS,USD,186.20,188.40,185.95,188.05,187.22,20531200,188.05,1.0000000000,FALSE,FALSE,OK,2026-05-28 23:35:00
55839124007,2026-05-28,VOD.L,XLON,GBp,76.42,77.18,76.10,76.94,76.71,18420500,76.94,1.0000000000,FALSE,FALSE,OK,2026-05-28 21:35:00
55839097211,2026-05-28,BMWG.DE,XETR,EUR,84.55,85.72,84.20,85.32,85.01,1245700,85.32,1.0000000000,FALSE,FALSE,OK,2026-05-28 21:35:00
55839067432,2026-05-28,7203.T,XJPX,JPY,2750.00,2785.50,2745.50,2782.00,2768.15,18420000,2782.00,1.0000000000,FALSE,FALSE,OK,2026-05-28 19:35:00
55839190551,2026-05-28,META.OQ,XNAS,USD,492.30,498.10,491.50,497.85,495.40,12451200,497.85,1.0000000000,FALSE,FALSE,OK,2026-05-28 23:35:00
