quote_perm_id,valid_from_ts,valid_to_ts,is_current,instrument_perm_id,ric,mic,trading_currency_iso,lot_size,is_primary_listing,is_consolidated_tape,listing_date,quote_status_code,sedol,exchange_ticker,figi,loaded_ts
55839165994,1980-12-12 00:00:00,9999-12-31 00:00:00,TRUE,8590932301,AAPL.OQ,XNAS,USD,1,TRUE,FALSE,1980-12-12,ACTIVE,2046251,AAPL,BBG000B9Y5X2,2026-05-28 06:00:00
55839166001,1980-12-12 00:00:00,9999-12-31 00:00:00,TRUE,8590932301,AAPL.MX,XMEX,MXN,1,FALSE,FALSE,2001-09-04,ACTIVE,,AAPL,BBG000FB44L9,2026-05-28 06:00:00
55839172044,1986-03-13 00:00:00,9999-12-31 00:00:00,TRUE,8590934712,MSFT.OQ,XNAS,USD,1,TRUE,FALSE,1986-03-13,ACTIVE,2588173,MSFT,BBG000BPH8Q1,2026-05-28 06:00:00
55839188931,2015-10-02 00:00:00,9999-12-31 00:00:00,TRUE,8590937183,GOOG.OQ,XNAS,USD,1,TRUE,FALSE,2014-04-03,ACTIVE,BYY88Y7,GOOG,BBG009S3NB54,2026-05-28 06:00:00
55839188932,2015-10-02 00:00:00,9999-12-31 00:00:00,TRUE,8590937184,GOOGL.OQ,XNAS,USD,1,FALSE,FALSE,2004-08-19,ACTIVE,BYVY8G0,GOOGL,BBG009S3NB81,2026-05-28 06:00:00
55839190551,2012-05-18 00:00:00,2021-10-28 00:00:00,FALSE,8590945601,FB.OQ,XNAS,USD,1,TRUE,FALSE,2012-05-18,ACTIVE,B7TL820,FB,BBG000NVNRR9,2021-10-29 06:00:00
55839190551,2021-10-28 00:00:00,9999-12-31 00:00:00,TRUE,8590945601,META.OQ,XNAS,USD,1,TRUE,FALSE,2012-05-18,ACTIVE,BVDLBL2,META,BBG000NVNRR9,2021-10-29 06:00:00
55839124007,1988-10-11 00:00:00,9999-12-31 00:00:00,TRUE,8590901223,VOD.L,XLON,GBp,1,TRUE,FALSE,1988-10-11,ACTIVE,BH4HKS3,VOD,BBG000C4R6Q9,2026-05-28 06:00:00
55839124008,1988-10-26 00:00:00,9999-12-31 00:00:00,TRUE,8590901223,VOD.OQ,XNAS,USD,1,FALSE,FALSE,1988-10-26,ACTIVE,2933034,VOD,BBG000C4R6Z2,2026-05-28 06:00:00
55839097211,1956-02-15 00:00:00,9999-12-31 00:00:00,TRUE,8590870144,BMWG.DE,XETR,EUR,1,TRUE,FALSE,1956-02-15,ACTIVE,5407967,BMW,BBG000BBX8R7,2026-05-28 06:00:00
55839067432,1949-05-16 00:00:00,9999-12-31 00:00:00,TRUE,8590881209,7203.T,XJPX,JPY,100,TRUE,FALSE,1949-05-16,ACTIVE,6900643,7203,BBG000BCWCH4,2026-05-28 06:00:00
