instrument_perm_id,valid_from_ts,valid_to_ts,is_current,org_perm_id,asset_class_code,instrument_subtype_code,instrument_name,currency_iso,country_of_issue_iso,isin,cusip,composite_figi,share_class_figi,issue_date,maturity_date,coupon_rate_pct,coupon_frequency_code,face_value,shares_outstanding,instrument_status_code,is_primary_security,cfi_code,source_change_reason_code,loaded_ts
8590932301,1980-12-12 00:00:00,9999-12-31 00:00:00,TRUE,4295905573,EQTY,COMMON,Apple Inc - Common Stock,USD,US,US0378331005,037833100,BBG000B9XRY4,BBG001S5N8V8,1980-12-12,,,,,,ACTIVE,TRUE,ESVUFR,INITIAL_LOAD,2026-05-28 06:00:00
8590934712,1986-03-13 00:00:00,9999-12-31 00:00:00,TRUE,4295902158,EQTY,COMMON,Microsoft Corporation - Common Stock,USD,US,US5949181045,594918104,BBG000BPH459,BBG001S5TD05,1986-03-13,,,,,,ACTIVE,TRUE,ESVUFR,INITIAL_LOAD,2026-05-28 06:00:00
8590937183,2015-10-02 00:00:00,9999-12-31 00:00:00,TRUE,4295902963,EQTY,CLASS_C,Alphabet Inc - Class C Common Stock,USD,US,US02079K1079,02079K107,BBG009S39JX6,BBG009S3NB30,2015-10-02,,,,,,ACTIVE,TRUE,ESNTFR,INITIAL_LOAD,2026-05-28 06:00:00
8590937184,2015-10-02 00:00:00,9999-12-31 00:00:00,TRUE,4295902963,EQTY,CLASS_A,Alphabet Inc - Class A Common Stock,USD,US,US02079K3059,02079K305,BBG009S3NB17,BBG009S3NB17,2015-10-02,,,,,,ACTIVE,FALSE,ESVUFR,INITIAL_LOAD,2026-05-28 06:00:00
8590945601,2012-05-18 00:00:00,9999-12-31 00:00:00,TRUE,4295903669,EQTY,CLASS_A,Meta Platforms Inc - Class A Common Stock,USD,US,US30303M1027,30303M102,BBG000MM2P62,BBG001S98ZF1,2012-05-18,,,,,,ACTIVE,TRUE,ESVUFR,NAME_CHANGE,2021-10-29 06:00:00
8590901223,1988-10-11 00:00:00,9999-12-31 00:00:00,TRUE,4295869407,EQTY,COMMON,Vodafone Group Plc - Ordinary Shares,GBP,GB,GB00BH4HKS39,,BBG000C4R6H8,BBG001S5RBL4,1988-10-11,,,,,,ACTIVE,TRUE,ESVUFR,INITIAL_LOAD,2026-05-28 06:00:00
8590870144,1926-11-01 00:00:00,9999-12-31 00:00:00,TRUE,4295868529,EQTY,COMMON,Bayerische Motoren Werke AG - Ordinary Shares,EUR,DE,DE0005190003,,BBG000BBX8Q0,BBG001S5N3J0,1926-11-01,,,,,,ACTIVE,TRUE,ESVUFR,INITIAL_LOAD,2026-05-28 06:00:00
8590881209,1949-05-16 00:00:00,9999-12-31 00:00:00,TRUE,4295875323,EQTY,COMMON,Toyota Motor Corp - Ordinary Shares,JPY,JP,JP3633400001,,BBG000BCWCG1,BBG001S5MWS6,1949-05-16,,,,,,ACTIVE,TRUE,ESVUFR,INITIAL_LOAD,2026-05-28 06:00:00
8590190551,2012-05-18 00:00:00,9999-12-31 00:00:00,TRUE,4295903669,EQTY,CLASS_A,Meta Platforms Inc - Class A Common Stock,USD,US,US30303M1027,30303M102,BBG000MM2P62,BBG001S98ZF1,2012-05-18,,,,,,ACTIVE,TRUE,ESVUFR,DUP_FOR_PRICING_LINK,2021-10-29 06:00:00
8821000001,2023-02-08 00:00:00,9999-12-31 00:00:00,TRUE,4295905573,BOND,SR_UNSEC,Apple Inc 4.000% Notes due 2033,USD,US,US037833DM87,037833DM8,,,2023-02-08,2033-02-08,4.000000,SEMI,1000.0000,,ACTIVE,FALSE,DBFSFR,INITIAL_LOAD,2023-02-09 02:00:00
8821000002,2023-02-08 00:00:00,9999-12-31 00:00:00,TRUE,4295905573,BOND,SR_UNSEC,Apple Inc 4.300% Notes due 2043,USD,US,US037833DN60,037833DN6,,,2023-02-08,2043-02-08,4.300000,SEMI,1000.0000,,ACTIVE,FALSE,DBFSFR,INITIAL_LOAD,2023-02-09 02:00:00
8821000010,2024-04-01 00:00:00,9999-12-31 00:00:00,TRUE,4295902158,BOND,SR_UNSEC,Microsoft Corporation 4.600% Notes due 2034,USD,US,US594918BV29,594918BV2,,,2024-04-01,2034-04-01,4.600000,SEMI,1000.0000,,ACTIVE,FALSE,DBFSFR,INITIAL_LOAD,2024-04-02 02:00:00
8821000020,2022-11-15 00:00:00,9999-12-31 00:00:00,TRUE,,BOND,GOVT_NOTE,US Treasury Note 4.125% due 2032-11-15,USD,US,US91282CGA01,91282CGA0,,,2022-11-15,2032-11-15,4.125000,SEMI,1000.0000,,ACTIVE,FALSE,DBFTFR,INITIAL_LOAD,2022-11-16 02:00:00
8821000030,2023-09-12 00:00:00,9999-12-31 00:00:00,TRUE,,BOND,GOVT_NOTE,Bundesrepublik Deutschland 2.300% due 2033-09-12,EUR,DE,DE0001102614,,,,2023-09-12,2033-09-12,2.300000,ANNUAL,1000.0000,,ACTIVE,FALSE,DBFTFR,INITIAL_LOAD,2023-09-13 02:00:00
8821000040,2022-05-10 00:00:00,9999-12-31 00:00:00,TRUE,,BOND,SUPRA,European Investment Bank 2.750% Green Bond due 2032,EUR,LU,XS2487291876,,,,2022-05-10,2032-05-10,2.750000,ANNUAL,1000.0000,,ACTIVE,FALSE,DBFSFR,INITIAL_LOAD,2022-05-11 02:00:00
