base_ccy,quote_ccy,fix_date,fix_code,mid_rate,bid_rate,ask_rate,is_cross_rate,quality_flag_code,loaded_ts
USD,USD,2026-05-28,WMR_LON_4PM,1.0000000000,1.0000000000,1.0000000000,FALSE,OK,2026-05-28 16:00:30
USD,EUR,2026-05-28,WMR_LON_4PM,0.9215000000,0.9214500000,0.9215500000,FALSE,OK,2026-05-28 16:00:30
USD,GBP,2026-05-28,WMR_LON_4PM,0.7872000000,0.7871600000,0.7872400000,FALSE,OK,2026-05-28 16:00:30
USD,JPY,2026-05-28,WMR_LON_4PM,153.4200000000,153.4150000000,153.4250000000,FALSE,OK,2026-05-28 16:00:30
USD,MXN,2026-05-28,WMR_LON_4PM,18.4500000000,18.4480000000,18.4520000000,FALSE,OK,2026-05-28 16:00:30
USD,CHF,2026-05-28,WMR_LON_4PM,0.8842000000,0.8841500000,0.8842500000,FALSE,OK,2026-05-28 16:00:30
USD,CNY,2026-05-28,WMR_LON_4PM,7.2310000000,7.2308000000,7.2312000000,FALSE,OK,2026-05-28 16:00:30
USD,EUR,2024-12-31,WMR_LON_4PM,0.9385000000,0.9384500000,0.9385500000,FALSE,OK,2024-12-31 16:00:30
USD,GBP,2024-12-31,WMR_LON_4PM,0.7980000000,0.7979500000,0.7980500000,FALSE,OK,2024-12-31 16:00:30
USD,JPY,2024-12-31,WMR_LON_4PM,157.2300000000,157.2200000000,157.2400000000,FALSE,OK,2024-12-31 16:00:30
